Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Show Name,Tone Mode,CTCSS,DCS,Tx Power,Skip,Step,Clock Shift,Comment,User CTCSS
414,146.88000,146.28000,600 kHz,Minus,Auto,SNU Wheatland,Large,None,100.0 Hz,023,High,Off,Auto,Off,56 47 271.00 WY Platte Wheatland WA7SNU,1500 Hz
415,147.13500,147.73500,600 kHz,Plus,Auto,SOK Cozad,Large,Tone,123.0 Hz,023,High,Off,Auto,Off,31 30 445.00 NE Dawson Cozad W0SOK,1500 Hz
416,146.97000,146.37000,600 kHz,Minus,Auto,SRJ Colorado Springs Pikes Peak,Large,Tone,100.0 Hz,023,High,Off,Auto,Off,8 44 87.00 CO El Paso Colorado Springs Pikes Peak KB0SRJ,1500 Hz
417,145.26500,144.66500,600 kHz,Minus,Auto,SRJ Colorado Springs ~2 mi ENE U,Large,Tone,100.0 Hz,023,High,Off,Auto,Off,8 39 102.00 CO El Paso Colorado Springs ~2 mi ENE USAFA North Gate KB0SRJ,1500 Hz
418,147.10500,147.70500,600 kHz,Plus,Auto,SSI Grand Junction,Large,None,100.0 Hz,023,High,Off,Auto,Off,8 8175 316.00 CO Mesa Grand Junction K0SSI,1500 Hz
419,147.21000,147.81000,600 kHz,Plus,Auto,SSP Lakewood Moffat Treatment Pl,Large,T Sql,100.0 Hz,023,High,Off,Auto,Off,8 9775 21.00 CO Jefferson Lakewood Moffat Treatment Plant KD0SSP,1500 Hz
420,145.47000,144.87000,600 kHz,Minus,Auto,SUM Ogden Powder Mountain,Large,Tone,123.0 Hz,023,High,Off,Auto,Off,49 94 608.00 UT Weber Ogden Powder Mountain KC7SUM,1500 Hz
421,145.19000,144.59000,600 kHz,Minus,Auto,Santa Fe,Large,Tone,162.2 Hz,023,High,Off,Auto,Off,35 17323 446.00 NM Bernalillo Santa Fe,1500 Hz
422,147.27000,147.87000,600 kHz,Plus,Auto,TAJ McCook 180' tower S. of McCo,Large,None,100.0 Hz,023,High,Off,Auto,Off,31 39 375.00 NE Red Willow McCook 180' tower S. of McCook K0TAJ,1500 Hz
423,146.92000,146.32000,600 kHz,Minus,Auto,TOP Corinne Promontory Point,Large,Tone,123.0 Hz,023,High,Off,Auto,Off,49 157 659.00 UT Weber Corinne Promontory Point N7TOP,1500 Hz
424,147.38000,147.98000,600 kHz,Plus,Auto,TSQ Ogden,Large,None,100.0 Hz,023,High,Off,Auto,Off,49 260 623.00 UT Weber Ogden WB7TSQ,1500 Hz
425,145.41000,144.81000,600 kHz,Minus,Auto,TSQ Ogden foothills,Large,Tone,123.0 Hz,023,High,Off,Auto,Off,49 262 616.00 UT Weber Ogden foothills WB7TSQ,1500 Hz
426,146.90000,146.30000,600 kHz,Minus,Auto,TSV Pampa,Large,None,100.0 Hz,023,High,Off,Auto,Off,48 518 573.00 TX Gray Pampa W5TSV,1500 Hz
427,147.06000,147.66000,600 kHz,Plus,Auto,TUC Westcliffe,Large,T Sql,77.0 Hz,023,High,Off,Auto,Off,8 7189 171.00 CO Custer Westcliffe KB0TUC,1500 Hz
428,147.02000,147.62000,600 kHz,Plus,Auto,UAH Goshen West Mountain,Large,Tone,100.0 Hz,023,High,Off,Auto,Off,49 247 589.00 UT Utah Goshen West Mountain WA7UAH,1500 Hz
429,145.45000,144.85000,600 kHz,Minus,Auto,UAH West Jordan Butterfield Peak,Large,Tone,100.0 Hz,023,High,Off,Auto,Off,49 245 622.00 UT Salt Lake West Jordan Butterfield Peak WA7UAH,1500 Hz
430,147.34000,147.94000,600 kHz,Plus,Auto,UCS Goshen West Mountain,Large,Tone,100.0 Hz,023,High,Off,Auto,Off,49 71 589.00 UT Utah Goshen West Mountain K7UCS,1500 Hz
431,145.23000,144.63000,600 kHz,Minus,Auto,UCS Provo Lake Mountain,Large,Tone,131.8 Hz,023,High,Off,Auto,Off,49 67 600.00 UT Utah Provo Lake Mountain K7UCS,1500 Hz
432,147.28000,147.88000,600 kHz,Plus,Auto,UCS Provo Lake Mountain,Large,Tone,141.3 Hz,023,High,Off,Auto,Off,49 69 600.00 UT Utah Provo Lake Mountain K7UCS,1500 Hz
433,145.47000,144.87000,600 kHz,Minus,Auto,UCS Provo UVMC,Large,Tone,100.0 Hz,023,High,Off,Auto,Off,49 127 577.00 UT Utah Provo UVMC K7UCS,1500 Hz
434,145.40000,144.80000,600 kHz,Minus,Auto,UDD Aurora Smoky Hill,Large,Tone,100.0 Hz,023,High,Off,Auto,Off,8 5 18.00 CO Arapahoe Aurora Smoky Hill KB0UDD,1500 Hz
435,146.67000,146.07000,600 kHz,Minus,Auto,UDD Idaho Springs Squaw Mountain,Large,T Sql,100.0 Hz,023,High,Off,Auto,Off,8 78 47.00 CO Clear Creek Idaho Springs Squaw Mountain KB0UDD,1500 Hz
436,146.94000,146.34000,600 kHz,Minus,Auto,UGO North Platte,Large,Tone,100.0 Hz,023,High,Off,Auto,Off,31 11026 393.00 NE Lincoln North Platte N0UGO,1500 Hz
437,146.76000,146.16000,600 kHz,Minus,Auto,UGO Ogallala,Large,Tone,123.0 Hz,023,High,Off,Auto,Off,31 11025 321.00 NE Keith Ogallala N0UGO,1500 Hz
438,146.62500,146.02500,600 kHz,Minus,Auto,UPS Fort Collins Buckhorn Mounta,Large,T Sql,100.0 Hz,023,High,Off,Auto,Off,8 246 116.00 CO Larimer Fort Collins Buckhorn Mountain W0UPS,1500 Hz
439,145.11500,144.51500,600 kHz,Minus,Auto,UPS Fort Collins Horsetooth Moun,Large,T Sql,100.0 Hz,023,High,Off,Auto,Off,8 123 105.00 CO Larimer Fort Collins Horsetooth Mountain W0UPS,1500 Hz
440,146.85000,146.25000,600 kHz,Minus,Auto,UPS Greeley UNC,Large,T Sql,100.0 Hz,023,High,Off,Auto,Off,8 156 90.00 CO Weld Greeley UNC W0UPS,1500 Hz
441,146.96000,146.36000,600 kHz,Minus,Auto,URR Belen Capilla Peak,Large,Tone,100.0 Hz,023,High,Off,Auto,Off,35 46 561.00 NM Torrance Belen Capilla Peak K5URR,1500 Hz
442,146.64000,146.04000,600 kHz,Minus,Auto,URR Grants MW Ridge,Large,T Sql,67.0 Hz,023,High,Off,Auto,Off,35 15625 545.00 NM Bernalillo Grants MW Ridge K5URR,1500 Hz
443,146.94000,146.34000,600 kHz,Minus,Auto,URR Grants Mt Taylor,Large,Tone,100.0 Hz,023,High,Off,Auto,Off,35 97 540.00 NM Cibola Grants Mt Taylor K5URR,1500 Hz
444,146.65500,146.05500,600 kHz,Minus,Auto,UUJ Rock Springs Aspen Mountain,Large,None,100.0 Hz,023,High,Off,Auto,Off,56 13123 420.00 WY Sweetwater Rock Springs Aspen Mountain KE7UUJ,1500 Hz
